(2000: 7:19:13:39) - ASCII(0)  
(2000: 7:19:13:39) - ASCII(1)  
(2000: 7:19:13:39) - ASCII(177)  ?
(2000: 7:19:13:39) - ASCII(178)  ?
(2000: 7:19:13:39) - ASCII(179)  ?
(2000: 7:19:13:39) - ASCII(180)  ?
(2000: 7:19:13:39) - ASCII(181)  ?
(2000: 7:19:13:39) - ASCII(182)  ?
(2000: 7:19:13:39) - ASCII(183)  ?
(2000: 7:19:13:39) - ASCII(184)  ?
(2000: 7:19:13:39) - ASCII(185)  ?
(2000: 7:19:13:39) - ASCII(186)  ?
(2000: 7:19:13:39) - ASCII(187)  ?
(2000: 7:19:13:39) - ASCII(188)  ?
(2000: 7:19:13:39) - ASCII(189)  ?
(2000: 7:19:13:39) - ASCII(190)  ?
(2000: 7:19:13:39) - ASCII(191)  ?
(2000: 7:19:13:39) - ASCII(192)  ?
(2000: 7:19:13:39) - ASCII(193)  ?
(2000: 7:19:13:39) - ASCII(194)  ?
(2000: 7:19:13:39) - ASCII(195)  ?
(2000: 7:19:13:39) - ASCII(196)  ?
(2000: 7:19:13:39) - ASCII(197)  ?
(2000: 7:19:13:39) - ASCII(198)  ?
(2000: 7:19:13:39) - ASCII(199)  ?
(2000: 7:19:13:39) - ASCII(200)  ?
(2000: 7:19:13:39) - ASCII(201)  ?
(2000: 7:19:13:39) - ASCII(202)  ?
(2000: 7:19:13:39) - ASCII(203)  ?
(2000: 7:19:13:39) - ASCII(204)  ?
(2000: 7:19:13:39) - ASCII(205)  ?
(2000: 7:19:13:39) - ASCII(206)  ?
(2000: 7:19:13:39) - ASCII(207)  ?
(2000: 7:19:13:39) - ASCII(208)  ?
(2000: 7:19:13:39) - ASCII(209)  ?
(2000: 7:19:13:39) - ASCII(210)  ?
(2000: 7:19:13:39) - ASCII(211)  ?
(2000: 7:19:13:39) - ASCII(212)  ?
(2000: 7:19:13:39) - ASCII(213)  ?
(2000: 7:19:13:39) - ASCII(214)  ?
(2000: 7:19:13:39) - ASCII(215)  ?
(2000: 7:19:13:39) - ASCII(216)  ?
(2000: 7:19:13:39) - ASCII(217)  ?
(2000: 7:19:13:39) - ASCII(218)  ?
(2000: 7:19:13:39) - ASCII(219)  ?
(2000: 7:19:13:39) - ASCII(220)  ?
(2000: 7:19:13:39) - ASCII(221)  ?
(2000: 7:19:13:39) - ASCII(222)  ?
(2000: 7:19:13:39) - ASCII(223)  ?
(2000: 7:19:13:39) - ASCII(224)  ?
(2000: 7:19:13:39) - ASCII(225)  ?
(2000: 7:19:13:39) - ASCII(226)  ?
(2000: 7:19:13:39) - ASCII(227)  ?
(2000: 7:19:13:39) - ASCII(228)  ?
(2000: 7:19:13:39) - ASCII(229)  ?
(2000: 7:19:13:39) - ASCII(230)  ?
(2000: 7:19:13:39) - ASCII(231)  ?
(2000: 7:19:13:39) - ASCII(232)  ?
(2000: 7:19:13:39) - ASCII(233)  ?
(2000: 7:19:13:39) - ASCII(234)  ?
(2000: 7:19:13:39) - ASCII(235)  ?
(2000: 7:19:13:39) - ASCII(236)  ?
(2000: 7:19:13:39) - ASCII(237)  ?
(2000: 7:19:13:39) - ASCII(238)  ?
(2000: 7:19:13:39) - ASCII(239)  ?
(2000: 7:19:13:39) - ASCII(240)  ?
(2000: 7:19:13:39) - ASCII(241)  ?
(2000: 7:19:13:39) - ASCII(242)  ?
(2000: 7:19:13:39) - ASCII(243)  ?
(2000: 7:19:13:39) - ASCII(244)  ?
(2000: 7:19:13:39) - ASCII(245)  ?
(2000: 7:19:13:39) - ASCII(246)  ?
(2000: 7:19:13:39) - ASCII(247)  ?
(2000: 7:19:13:39) - ASCII(248)  ?
(2000: 7:19:13:39) - ASCII(249)  ?
(2000: 7:19:13:39) - ASCII(250)  ?
(2000: 7:19:13:39) - ASCII(251)  ?
(2000: 7:19:13:39) - ASCII(252)  ?
(2000: 7:19:13:39) - ASCII(253)  ?
(2000: 7:19:13:39) - ASCII(254)  ?
(2000: 7:19:13:39) - ASCII(255)  ÿ
